case_index	diff_path	status	rc	logdir	workdir
65	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset0/dataset_22/4/ibex_ex_block.sv.diff	APPLY_FAIL	1	/mnt/sda/bluesfl-tmp/cosim_run_2026-06-24-22-25-05_536898/logs/65	/mnt/sda/bluesfl-tmp/cosim_run_2026-06-24-22-25-05_536898/work/65
67	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset0/dataset_23/0/ibex_decoder.sv.diff	APPLY_FAIL	1	/mnt/sda/bluesfl-tmp/cosim_run_2026-06-24-22-25-05_536898/logs/67	/mnt/sda/bluesfl-tmp/cosim_run_2026-06-24-22-25-05_536898/work/67
68	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset0/dataset_23/1/ibex_wb_stage.sv.diff	APPLY_FAIL	1	/mnt/sda/bluesfl-tmp/cosim_run_2026-06-24-22-25-05_536898/logs/68	/mnt/sda/bluesfl-tmp/cosim_run_2026-06-24-22-25-05_536898/work/68
69	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset0/dataset_23/2/ibex_alu.sv.diff	APPLY_FAIL	1	/mnt/sda/bluesfl-tmp/cosim_run_2026-06-24-22-25-05_536898/logs/69	/mnt/sda/bluesfl-tmp/cosim_run_2026-06-24-22-25-05_536898/work/69
70	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset0/dataset_23/3/ibex_controller.sv.diff	APPLY_FAIL	1	/mnt/sda/bluesfl-tmp/cosim_run_2026-06-24-22-25-05_536898/logs/70	/mnt/sda/bluesfl-tmp/cosim_run_2026-06-24-22-25-05_536898/work/70
71	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset0/dataset_23/4/ibex_if_stage.sv.diff	APPLY_FAIL	1	/mnt/sda/bluesfl-tmp/cosim_run_2026-06-24-22-25-05_536898/logs/71	/mnt/sda/bluesfl-tmp/cosim_run_2026-06-24-22-25-05_536898/work/71
72	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset0/dataset_24/0/ibex_prefetch_buffer.sv.diff	APPLY_FAIL	1	/mnt/sda/bluesfl-tmp/cosim_run_2026-06-24-22-25-05_536898/logs/72	/mnt/sda/bluesfl-tmp/cosim_run_2026-06-24-22-25-05_536898/work/72
73	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset0/dataset_24/1/ibex_fetch_fifo.sv.diff	APPLY_FAIL	1	/mnt/sda/bluesfl-tmp/cosim_run_2026-06-24-22-25-05_536898/logs/73	/mnt/sda/bluesfl-tmp/cosim_run_2026-06-24-22-25-05_536898/work/73
61	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset0/dataset_2/1/ibex_alu.sv.diff	BUILD_FAIL	1	/mnt/sda/bluesfl-tmp/cosim_run_2026-06-24-22-25-05_536898/logs/61	/mnt/sda/bluesfl-tmp/cosim_run_2026-06-24-22-25-05_536898/work/61
74	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset0/dataset_24/2/ibex_alu.sv.diff	APPLY_FAIL	1	/mnt/sda/bluesfl-tmp/cosim_run_2026-06-24-22-25-05_536898/logs/74	/mnt/sda/bluesfl-tmp/cosim_run_2026-06-24-22-25-05_536898/work/74
