output_index	case_index	diff_path	status	rc
95	267	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset1/dataset_20/3/ibex_load_store_unit.sv.diff	SIM_FAIL	1
96	269	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset1/dataset_20/5/ibex_decoder.sv.diff	SIM_FAIL	1
97	270	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset1/dataset_20/6/ibex_prefetch_buffer.sv.diff	SIM_FAIL	1
98	277	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset1/dataset_21/10/ibex_if_stage.sv.diff	SIM_FAIL	1
99	278	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset1/dataset_21/11/ibex_controller.sv.diff	SIM_FAIL	1
100	281	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset1/dataset_2/11/ibex_if_stage.sv.diff	SIM_FAIL	1
101	282	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset1/dataset_21/1/ibex_prefetch_buffer.sv.diff	SIM_FAIL	1
102	283	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset1/dataset_2/12/ibex_alu.sv.diff	SIM_FAIL	1
103	285	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset1/dataset_21/3/ibex_id_stage.sv.diff	SIM_FAIL	1
104	291	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset1/dataset_22/10/ibex_ex_block.sv.diff	SIM_FAIL	1
105	292	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset1/dataset_22/11/ibex_core.sv.diff	SIM_FAIL	1
106	294	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset1/dataset_22/14/ibex_fetch_fifo.sv.diff	SIM_FAIL	134
107	295	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset1/dataset_22/1/ibex_decoder.sv.diff	SIM_FAIL	1
108	298	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset1/dataset_22/4/ibex_controller.sv.diff	SIM_FAIL	1
109	299	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset1/dataset_22/6/ibex_prefetch_buffer.sv.diff	SIM_FAIL	1
110	300	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset1/dataset_22/7/ibex_compressed_decoder.sv.diff	SIM_FAIL	1
111	301	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset1/dataset_22/8/ibex_alu.sv.diff	SIM_FAIL	1
112	304	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset1/dataset_23/0/ibex_fetch_fifo.sv.diff	SIM_FAIL	1
113	305	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset1/dataset_23/10/ibex_fetch_fifo.sv.diff	SIM_FAIL	1
114	306	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset1/dataset_23/11/ibex_alu.sv.diff	SIM_FAIL	1
115	310	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset1/dataset_23/1/ibex_prefetch_buffer.sv.diff	SIM_FAIL	1
116	311	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset1/dataset_23/2/ibex_wb_stage.sv.diff	SIM_FAIL	1
117	317	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset1/dataset_24/0/ibex_alu.sv.diff	SIM_FAIL	1
118	319	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset1/dataset_24/11/ibex_if_stage.sv.diff	SIM_FAIL	1
119	320	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset1/dataset_24/12/ibex_alu.sv.diff	SIM_FAIL	1
120	322	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset1/dataset_24/14/ibex_alu.sv.diff	SIM_FAIL	1
121	324	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset1/dataset_24/2/ibex_multdiv_fast.sv.diff	SIM_FAIL	1
122	325	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset1/dataset_24/3/ibex_core.sv.diff	SIM_FAIL	1
123	326	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset1/dataset_24/4/ibex_core.sv.diff	SIM_FAIL	1
124	329	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset1/dataset_24/7/ibex_wb_stage.sv.diff	SIM_FAIL	1
125	330	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset1/dataset_24/9/ibex_decoder.sv.diff	SIM_FAIL	1
126	331	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset1/dataset_2/4/ibex_id_stage.sv.diff	SIM_FAIL	1
127	334	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset1/dataset_25/11/ibex_fetch_fifo.sv.diff	SIM_FAIL	1
128	338	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset1/dataset_25/1/ibex_controller.sv.diff	SIM_FAIL	1
129	341	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset1/dataset_25/4/ibex_fetch_fifo.sv.diff	SIM_FAIL	1
130	344	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset1/dataset_25/7/ibex_prefetch_buffer.sv.diff	SIM_FAIL	1
131	346	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset1/dataset_25/9/ibex_fetch_fifo.sv.diff	SIM_FAIL	1
132	348	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset1/dataset_26/0/ibex_if_stage.sv.diff	SIM_FAIL	1
133	351	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset1/dataset_26/12/ibex_if_stage.sv.diff	SIM_FAIL	1
134	354	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset1/dataset_26/3/ibex_ex_block.sv.diff	SIM_FAIL	1
135	358	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset1/dataset_2/6/ibex_prefetch_buffer.sv.diff	SIM_FAIL	1
136	361	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset1/dataset_2/9/ibex_fetch_fifo.sv.diff	SIM_FAIL	1
137	362	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset1/dataset_3/0/ibex_ex_block.sv.diff	SIM_FAIL	1
138	365	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset1/dataset_3/1/ibex_if_stage.sv.diff	SIM_FAIL	1
